iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,population,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
ALB,Europe,Albania,07/03/2023,333532,0,6.286,3598,0,0,117345.068,0,2.211,1265.868,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104.871,38,13.188,8.643,11803.431,1.1,304.195,10.08,7.1,51.2,,2.89,78.57,0.795,2842318,,,,
AUT,Europe,Austria,07/03/2023,5943417,2378,5411.143,21923,0,3.286,664840.227,266.007,605.299,2452.342,0,0.368,,88,9.844,1408,157.501,,,,,,,,,,,,,,,,,,,,,,,,,,,,106.749,44.4,19.202,13.748,45436.686,0.7,145.183,6.35,28.4,30.9,,7.37,81.54,0.922,8939617,,,,
BLR,Europe,Belarus,07/03/2023,994037,0,0,7118,0,0,104251.871,0,0,746.516,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.858,40.3,14.799,9.788,17167.967,,443.129,5.18,10.5,46.1,,11,74.79,0.823,9534956,,,,
BEL,Europe,Belgium,07/03/2023,4727795,0,559.571,33775,0,2.143,405613.095,0,48.007,2897.668,0,0.184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,375.564,41.8,18.571,12.849,42658.576,0.2,114.898,4.29,25.1,31.4,,5.64,81.63,0.931,11655923,,,,
BIH,Europe,Bosnia and Herzegovina,07/03/2023,401729,1,13.286,16280,0,0.143,124238.526,0.309,4.109,5034.745,0,0.044,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.496,42.5,16.569,10.711,11713.895,0.2,329.635,10.08,30.2,47.7,97.164,3.5,77.4,0.78,3233530,,,,
BGR,Europe,Bulgaria,07/03/2023,1297243,181,67.143,38219,0,0.429,191278.621,26.688,9.9,5635.396,0,0.063,,,,,,,,,,,,,,,,,,,4609121,,2076151,,110,46,67.96,,30.61,,7,,,,65.18,44.7,20.801,13.272,18563.307,1.5,424.688,5.81,30.1,44.4,,7.454,75.05,0.816,6781955,,,,
HRV,Europe,Croatia,06/03/2023,1269326,334,47.714,17987,16,2.286,314941.019,82.871,11.839,4462.876,3.97,0.567,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.726,44,19.724,13.053,22669.797,0.7,253.782,5.59,34.3,39.9,,5.54,78.49,0.851,4030361,,,,
CYP,Europe,Cyprus,03/03/2023,650685,1592,227.429,1330,25,3.571,726205.264,1776.772,253.825,1484.363,27.902,3.986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,127.657,37.3,13.416,8.563,32415.132,,141.171,9.24,19.6,52.7,,3.4,80.98,0.887,896007,,,,
CZE,Europe,Czech Republic,07/03/2023,4615945,1795,872.571,42484,3,5.286,439865.58,171.05,83.15,4048.412,0.286,0.504,,46,4.383,756,72.041,,,,,,,,,,,,,,18618578,6975771,6892340,5161604,172,148,177.42,66.47,65.68,49.19,14,10,0,,137.176,43.3,19.027,11.58,32605.906,,227.485,6.82,30.5,38.3,,6.63,79.38,0.9,10493990,,,,
DNK,Europe,Denmark,07/03/2023,3403958,82,104.714,8284,3,4.143,578682.102,13.94,17.802,1408.302,0.51,0.704,,6,1.02,183,31.11,,,243,41.311,,,,,,,,,,13140568,4785329,4750021,3651156,19,14,223.39,81.35,80.75,62.07,2,3,0,,136.52,42.3,19.677,12.325,46682.515,0.2,114.767,6.41,19.3,18.8,,2.5,80.9,0.94,5882259,,,,
