country,country_code,year,Meningitis,Alzheimer's Disease and Other Dementias,Parkinson's Disease,Nutritional Deficiencies,Malaria,Drowning,Interpersonal Violence,Maternal Disorders,HIV/AIDS,Drug Use Disorders,Tuberculosis,Cardiovascular Diseases,Lower Respiratory Infections,Neonatal Disorders,Alcohol Use Disorders,Self-harm,Exposure to Forces of Nature,Diarrheal Diseases,Environmental Heat and Cold Exposure,Neoplasms,Conflict and Terrorism,Diabetes Mellitus,Chronic Kidney Disease,Poisonings,Protein-Energy Malnutrition,Road Injuries,Chronic Respiratory Diseases,Cirrhosis and Other Chronic Liver Diseases,Digestive Diseases,"Fire, Heat, and Hot Substances",Acute Hepatitis
Albania,ALB,2000,48,438,117,22,0,91,309,8,2,21,21,7641,875,711,14,151,0,15,6,3073,1,141,244,24,21,259,753,265,451,21,1
Albania,ALB,2001,42,451,118,16,0,80,250,6,2,26,19,7622,742,663,15,148,0,13,6,3044,5,140,237,23,15,257,706,255,429,19,1
Albania,ALB,2002,39,471,128,13,0,76,204,6,2,30,18,8230,671,617,15,154,7,11,6,3190,1,151,243,22,11,268,711,257,427,19,1
Albania,ALB,2003,36,489,141,10,0,70,164,6,2,31,18,9045,624,569,16,165,0,10,6,3388,0,163,256,20,9,287,734,266,438,19,1
Albania,ALB,2004,33,501,147,8,0,64,128,5,2,30,17,9335,560,516,16,170,1,10,8,3463,9,163,256,18,7,290,716,268,438,18,1
Albania,ALB,2005,30,514,149,7,0,53,92,6,2,23,15,9414,501,470,16,169,5,9,5,3468,10,156,252,14,6,276,676,267,433,17,1
Albania,ALB,2006,28,527,146,6,0,45,77,5,2,21,13,9172,441,430,16,162,0,8,4,3395,18,142,240,12,5,260,622,261,420,16,1
Albania,ALB,2007,24,543,146,6,0,44,76,5,2,23,12,9024,393,392,16,158,0,8,4,3357,18,130,231,12,4,258,586,260,413,16,1
Albania,ALB,2008,21,567,154,5,0,42,71,5,2,23,11,9393,374,365,17,163,0,7,4,3471,8,125,236,12,4,261,583,269,423,16,1
Albania,ALB,2009,17,590,159,5,0,40,62,4,2,19,10,9513,357,335,16,160,0,7,4,3528,0,119,238,11,4,249,578,274,428,15,1
Albania,ALB,2010,16,616,166,5,0,41,66,4,2,21,10,9748,351,308,17,160,2,7,5,3617,0,120,247,12,4,252,587,280,436,16,1
Albania,ALB,2011,13,647,176,5,0,38,65,4,2,22,11,10142,359,293,17,160,0,7,5,3759,0,127,257,12,4,255,616,288,450,16,1
Albania,ALB,2012,13,678,185,5,0,40,64,4,2,23,11,10446,369,269,17,158,0,7,9,3865,0,133,265,12,4,252,639,293,459,16,1
Albania,ALB,2013,13,710,195,5,0,40,63,4,2,24,11,10800,383,243,17,157,0,7,4,3982,0,139,275,12,4,251,665,299,468,17,1
Albania,ALB,2014,13,743,207,5,0,42,63,3,2,25,11,11275,401,218,18,158,0,7,4,4143,1,147,286,12,4,254,702,306,482,17,1
Albania,ALB,2015,14,776,219,5,0,41,63,3,2,26,11,11754,418,199,18,160,1,7,4,4313,0,155,299,12,4,258,737,317,498,18,1
Albania,ALB,2016,14,809,227,5,0,41,62,3,2,27,11,12053,430,186,18,158,2,7,4,4419,0,161,307,12,4,255,759,321,506,18,1
Albania,ALB,2017,13,844,235,5,0,38,60,3,2,28,11,12345,440,176,18,156,1,7,10,4517,0,166,314,12,4,251,779,326,515,18,1
Albania,ALB,2018,13,880,242,5,0,37,59,3,2,28,11,12629,448,168,18,154,0,7,4,4611,0,170,321,11,3,247,797,330,521,18,1
Albania,ALB,2019,13,917,248,5,0,36,57,3,2,29,11,12904,457,161,18,152,51,7,4,4705,0,175,329,11,3,243,815,333,527,18,1
Austria,AUT,2000,36,2974,688,4,0,86,70,3,48,166,68,36313,1192,179,307,1578,14,8,21,20150,0,1555,1093,20,1,912,2608,2045,3477,54,4
Austria,AUT,2001,37,3001,713,4,0,83,73,5,50,165,63,34918,1160,180,321,1535,0,11,23,19938,0,1640,1239,20,1,872,2669,2035,3478,53,4
Austria,AUT,2002,39,3046,766,5,0,83,73,2,53,167,61,34394,1164,173,332,1527,18,16,23,20079,0,1796,1429,22,1,844,2819,2085,3588,52,4
