,country_code,country,year,value
40,ALB,Albania,2000,3170
41,ALB,Albania,2001,3230
42,ALB,Albania,2002,3759.99999
43,ALB,Albania,2003,4070.000172
44,ALB,Albania,2004,4250
45,ALB,Albania,2005,4030.00021
46,ALB,Albania,2006,4010.000229
47,ALB,Albania,2007,4139.999866
48,ALB,Albania,2008,4079.999924
49,ALB,Albania,2009,4219.99979
50,ALB,Albania,2010,4449.999809
51,ALB,Albania,2011,4849.999905
52,ALB,Albania,2012,4360.000134
53,ALB,Albania,2013,4440.000057
54,ALB,Albania,2014,4820.000172
55,ALB,Albania,2015,4619.999886
56,ALB,Albania,2016,4480.000019
57,ALB,Albania,2017,5139.999866
58,ALB,Albania,2018,5110.000134
59,ALB,Albania,2019,4829.999924
100,AUT,Austria,2000,63530
101,AUT,Austria,2001,67910
102,AUT,Austria,2002,69370.00275
103,AUT,Austria,2003,74459.99908
104,AUT,Austria,2004,75800.00305
105,AUT,Austria,2005,76239.99786
106,AUT,Austria,2006,74099.99847
107,AUT,Austria,2007,71239.99786
108,AUT,Austria,2008,70730.00336
109,AUT,Austria,2009,64419.99817
110,AUT,Austria,2010,69959.99908
111,AUT,Austria,2011,68269.99664
112,AUT,Austria,2012,65110.00061
113,AUT,Austria,2013,65750
114,AUT,Austria,2014,62049.99924
115,AUT,Austria,2015,63240.00168
116,AUT,Austria,2016,63680.00031
117,AUT,Austria,2017,65860.00061
118,AUT,Austria,2018,63060.00137
119,AUT,Austria,2019,64769.99664
160,BEL,Belgium,2000,117270
161,BEL,Belgium,2001,118340
162,BEL,Belgium,2002,110849.9985
163,BEL,Belgium,2003,115500
164,BEL,Belgium,2004,114019.9966
165,BEL,Belgium,2005,110610.0006
166,BEL,Belgium,2006,108650.0015
167,BEL,Belgium,2007,104589.9963
168,BEL,Belgium,2008,106930.0003
169,BEL,Belgium,2009,99669.99817
170,BEL,Belgium,2010,106720.0012
171,BEL,Belgium,2011,96480.00336
172,BEL,Belgium,2012,95269.99664
173,BEL,Belgium,2013,96589.99634
174,BEL,Belgium,2014,90139.99939
175,BEL,Belgium,2015,95129.99725
176,BEL,Belgium,2016,94220.00122
177,BEL,Belgium,2017,92720.00122
178,BEL,Belgium,2018,93660.00366
179,BEL,Belgium,2019,93010.00214
