,Unnamed: 0,country,country_code,year,value
20,117,Albania,ALB,2000,9181.736328
21,118,Albania,ALB,2001,8701.516602
22,119,Albania,ALB,2002,9435.613281
23,120,Albania,ALB,2003,10670.28418
24,121,Albania,ALB,2004,11429.22949
25,122,Albania,ALB,2005,11342.98926
26,123,Albania,ALB,2006,10763.03516
27,124,Albania,ALB,2007,9352.900391
28,125,Albania,ALB,2008,10321.02344
29,126,Albania,ALB,2009,11359.71973
30,127,Albania,ALB,2010,12232.12012
31,128,Albania,ALB,2011,10751.08789
32,129,Albania,ALB,2012,10572.75098
33,130,Albania,ALB,2013,13315.43359
34,131,Albania,ALB,2014,11759.6875
35,132,Albania,ALB,2015,11791.41699
36,133,Albania,ALB,2016,13159.58301
37,134,Albania,ALB,2017,12737.59082
38,135,Albania,ALB,2018,14455.13574
39,136,Albania,ALB,2019,11266.25781
75,582,Austria,AUT,2000,48508.01953
76,583,Austria,AUT,2001,50059.46875
77,584,Austria,AUT,2002,49912.32422
78,585,Austria,AUT,2003,50178.69922
79,586,Austria,AUT,2004,50855.55078
80,587,Austria,AUT,2005,51512.47656
81,588,Austria,AUT,2006,50780.26563
82,589,Austria,AUT,2007,49533.32422
83,590,Austria,AUT,2008,50326.61719
84,591,Austria,AUT,2009,48583.73047
85,592,Austria,AUT,2010,49949.62109
86,593,Austria,AUT,2011,46531.44531
87,594,Austria,AUT,2012,48707.64063
88,595,Austria,AUT,2013,48070.70313
89,596,Austria,AUT,2014,45829.26563
90,597,Austria,AUT,2015,45546.71094
91,598,Austria,AUT,2016,46702.40234
92,599,Austria,AUT,2017,47350.70313
93,600,Austria,AUT,2018,45867.75391
94,601,Austria,AUT,2019,47818.35938
112,827,Belarus,BLR,2000,25837.69336
113,828,Belarus,BLR,2001,25272.6543
114,829,Belarus,BLR,2002,26321.35938
115,830,Belarus,BLR,2003,26302.32813
116,831,Belarus,BLR,2004,29644.55273
117,832,Belarus,BLR,2005,29716.36328
118,833,Belarus,BLR,2006,31748.4668
119,834,Belarus,BLR,2007,31092.60742
120,835,Belarus,BLR,2008,31594.68164
121,836,Belarus,BLR,2009,29954.17969
122,837,Belarus,BLR,2010,32508.45313
123,838,Belarus,BLR,2011,31940.81641
124,839,Belarus,BLR,2012,34543.48047
125,840,Belarus,BLR,2013,31285.87891
126,841,Belarus,BLR,2014,31271.41992
127,842,Belarus,BLR,2015,28288.82813
