,Unnamed: 0,country,year,value,Sex,country_code
0,201,Albania,2000,13.2,Both sexes,ALB
1,204,Albania,2001,13.6,Both sexes,ALB
2,207,Albania,2002,14,Both sexes,ALB
3,210,Albania,2003,14.5,Both sexes,ALB
4,213,Albania,2004,14.9,Both sexes,ALB
5,216,Albania,2005,15.4,Both sexes,ALB
6,219,Albania,2006,16,Both sexes,ALB
7,222,Albania,2007,16.5,Both sexes,ALB
8,225,Albania,2008,17,Both sexes,ALB
9,228,Albania,2009,17.6,Both sexes,ALB
10,231,Albania,2010,18.2,Both sexes,ALB
11,234,Albania,2011,18.8,Both sexes,ALB
12,237,Albania,2012,19.3,Both sexes,ALB
13,240,Albania,2013,19.9,Both sexes,ALB
14,243,Albania,2014,20.5,Both sexes,ALB
15,246,Albania,2015,21.1,Both sexes,ALB
16,249,Albania,2016,21.7,Both sexes,ALB
17,1209,Austria,2000,14,Both sexes,AUT
18,1212,Austria,2001,14.3,Both sexes,AUT
19,1215,Austria,2002,14.7,Both sexes,AUT
20,1218,Austria,2003,15,Both sexes,AUT
21,1221,Austria,2004,15.4,Both sexes,AUT
22,1224,Austria,2005,15.8,Both sexes,AUT
23,1227,Austria,2006,16.1,Both sexes,AUT
24,1230,Austria,2007,16.5,Both sexes,AUT
25,1233,Austria,2008,16.9,Both sexes,AUT
26,1236,Austria,2009,17.3,Both sexes,AUT
27,1239,Austria,2010,17.6,Both sexes,AUT
28,1242,Austria,2011,18,Both sexes,AUT
29,1245,Austria,2012,18.4,Both sexes,AUT
30,1248,Austria,2013,18.8,Both sexes,AUT
31,1251,Austria,2014,19.2,Both sexes,AUT
32,1254,Austria,2015,19.7,Both sexes,AUT
33,1257,Austria,2016,20.1,Both sexes,AUT
34,1965,Belarus,2000,18.8,Both sexes,BLR
35,1968,Belarus,2001,19.1,Both sexes,BLR
36,1971,Belarus,2002,19.5,Both sexes,BLR
37,1974,Belarus,2003,19.8,Both sexes,BLR
38,1977,Belarus,2004,20.2,Both sexes,BLR
39,1980,Belarus,2005,20.5,Both sexes,BLR
40,1983,Belarus,2006,20.9,Both sexes,BLR
41,1986,Belarus,2007,21.2,Both sexes,BLR
42,1989,Belarus,2008,21.6,Both sexes,BLR
43,1992,Belarus,2009,21.9,Both sexes,BLR
44,1995,Belarus,2010,22.3,Both sexes,BLR
45,1998,Belarus,2011,22.7,Both sexes,BLR
46,2001,Belarus,2012,23,Both sexes,BLR
47,2004,Belarus,2013,23.4,Both sexes,BLR
48,2007,Belarus,2014,23.7,Both sexes,BLR
49,2010,Belarus,2015,24.1,Both sexes,BLR
50,2013,Belarus,2016,24.5,Both sexes,BLR
51,2091,Belgium,2000,17,Both sexes,BEL
52,2094,Belgium,2001,17.3,Both sexes,BEL
53,2097,Belgium,2002,17.6,Both sexes,BEL
54,2100,Belgium,2003,17.9,Both sexes,BEL
55,2103,Belgium,2004,18.2,Both sexes,BEL
56,2106,Belgium,2005,18.5,Both sexes,BEL
57,2109,Belgium,2006,18.9,Both sexes,BEL
58,2112,Belgium,2007,19.2,Both sexes,BEL
59,2115,Belgium,2008,19.5,Both sexes,BEL
60,2118,Belgium,2009,19.8,Both sexes,BEL
61,2121,Belgium,2010,20.1,Both sexes,BEL
62,2124,Belgium,2011,20.4,Both sexes,BEL
63,2127,Belgium,2012,20.7,Both sexes,BEL
64,2130,Belgium,2013,21,Both sexes,BEL
65,2133,Belgium,2014,21.4,Both sexes,BEL
66,2136,Belgium,2015,21.7,Both sexes,BEL
67,2139,Belgium,2016,22.1,Both sexes,BEL
68,2721,Bosnia and Herzegovina,2000,12.6,Both sexes,BIH
69,2724,Bosnia and Herzegovina,2001,12.8,Both sexes,BIH
70,2727,Bosnia and Herzegovina,2002,13.1,Both sexes,BIH
71,2730,Bosnia and Herzegovina,2003,13.4,Both sexes,BIH
72,2733,Bosnia and Herzegovina,2004,13.7,Both sexes,BIH
73,2736,Bosnia and Herzegovina,2005,14,Both sexes,BIH
74,2739,Bosnia and Herzegovina,2006,14.3,Both sexes,BIH
75,2742,Bosnia and Herzegovina,2007,14.6,Both sexes,BIH
76,2745,Bosnia and Herzegovina,2008,14.9,Both sexes,BIH
77,2748,Bosnia and Herzegovina,2009,15.3,Both sexes,BIH
78,2751,Bosnia and Herzegovina,2010,15.6,Both sexes,BIH
79,2754,Bosnia and Herzegovina,2011,16,Both sexes,BIH
80,2757,Bosnia and Herzegovina,2012,16.3,Both sexes,BIH
81,2760,Bosnia and Herzegovina,2013,16.7,Both sexes,BIH
82,2763,Bosnia and Herzegovina,2014,17.1,Both sexes,BIH
