,country,HDI Rank,country_code,year,value
10,Albania,69,ALB,2000,0.671
11,Albania,69,ALB,2001,0.678
12,Albania,69,ALB,2002,0.684
13,Albania,69,ALB,2003,0.691
14,Albania,69,ALB,2004,0.696
15,Albania,69,ALB,2005,0.706
16,Albania,69,ALB,2006,0.713
17,Albania,69,ALB,2007,0.722
18,Albania,69,ALB,2008,0.728
19,Albania,69,ALB,2009,0.733
20,Albania,69,ALB,2010,0.745
21,Albania,69,ALB,2011,0.764
22,Albania,69,ALB,2012,0.775
23,Albania,69,ALB,2013,0.782
24,Albania,69,ALB,2014,0.787
25,Albania,69,ALB,2015,0.788
26,Albania,69,ALB,2016,0.788
27,Albania,69,ALB,2017,0.79
28,Albania,69,ALB,2018,0.792
29,Albania,69,ALB,2019,0.795
40,Austria,18,AUT,2000,0.847
41,Austria,18,AUT,2001,0.857
42,Austria,18,AUT,2002,0.847
43,Austria,18,AUT,2003,0.851
44,Austria,18,AUT,2004,0.858
45,Austria,18,AUT,2005,0.863
46,Austria,18,AUT,2006,0.87
47,Austria,18,AUT,2007,0.89
48,Austria,18,AUT,2008,0.893
49,Austria,18,AUT,2009,0.895
50,Austria,18,AUT,2010,0.904
51,Austria,18,AUT,2011,0.906
52,Austria,18,AUT,2012,0.908
53,Austria,18,AUT,2013,0.905
54,Austria,18,AUT,2014,0.913
55,Austria,18,AUT,2015,0.915
56,Austria,18,AUT,2016,0.917
57,Austria,18,AUT,2017,0.919
58,Austria,18,AUT,2018,0.921
59,Austria,18,AUT,2019,0.922
70,Belarus,53,BLR,2000,0.686
71,Belarus,53,BLR,2001,0.692
72,Belarus,53,BLR,2002,0.699
73,Belarus,53,BLR,2003,0.707
74,Belarus,53,BLR,2004,0.717
75,Belarus,53,BLR,2005,0.727
76,Belarus,53,BLR,2006,0.744
77,Belarus,53,BLR,2007,0.76
78,Belarus,53,BLR,2008,0.777
79,Belarus,53,BLR,2009,0.787
80,Belarus,53,BLR,2010,0.795
81,Belarus,53,BLR,2011,0.801
82,Belarus,53,BLR,2012,0.806
83,Belarus,53,BLR,2013,0.811
84,Belarus,53,BLR,2014,0.814
85,Belarus,53,BLR,2015,0.814
86,Belarus,53,BLR,2016,0.815
87,Belarus,53,BLR,2017,0.819
88,Belarus,53,BLR,2018,0.823
89,Belarus,53,BLR,2019,0.823
100,Belgium,14,BEL,2000,0.88
101,Belgium,14,BEL,2001,0.883
102,Belgium,14,BEL,2002,0.886
103,Belgium,14,BEL,2003,0.889
104,Belgium,14,BEL,2004,0.893
105,Belgium,14,BEL,2005,0.897
106,Belgium,14,BEL,2006,0.904
107,Belgium,14,BEL,2007,0.907
108,Belgium,14,BEL,2008,0.906
109,Belgium,14,BEL,2009,0.907
110,Belgium,14,BEL,2010,0.91
111,Belgium,14,BEL,2011,0.911
112,Belgium,14,BEL,2012,0.913
113,Belgium,14,BEL,2013,0.916
114,Belgium,14,BEL,2014,0.918
115,Belgium,14,BEL,2015,0.922
116,Belgium,14,BEL,2016,0.924
117,Belgium,14,BEL,2017,0.929
118,Belgium,14,BEL,2018,0.93
119,Belgium,14,BEL,2019,0.931
130,Bosnia and Herzegovina,73,BIH,2000,0.679
131,Bosnia and Herzegovina,73,BIH,2001,0.684
132,Bosnia and Herzegovina,73,BIH,2002,0.689
133,Bosnia and Herzegovina,73,BIH,2003,0.695
134,Bosnia and Herzegovina,73,BIH,2004,0.701
135,Bosnia and Herzegovina,73,BIH,2005,0.706
136,Bosnia and Herzegovina,73,BIH,2006,0.712
137,Bosnia and Herzegovina,73,BIH,2007,0.719
138,Bosnia and Herzegovina,73,BIH,2008,0.726
139,Bosnia and Herzegovina,73,BIH,2009,0.727
140,Bosnia and Herzegovina,73,BIH,2010,0.721
141,Bosnia and Herzegovina,73,BIH,2011,0.729
142,Bosnia and Herzegovina,73,BIH,2012,0.748
143,Bosnia and Herzegovina,73,BIH,2013,0.755
144,Bosnia and Herzegovina,73,BIH,2014,0.758
145,Bosnia and Herzegovina,73,BIH,2015,0.761
146,Bosnia and Herzegovina,73,BIH,2016,0.772
147,Bosnia and Herzegovina,73,BIH,2017,0.774
148,Bosnia and Herzegovina,73,BIH,2018,0.777
149,Bosnia and Herzegovina,73,BIH,2019,0.78
160,Bulgaria,56,BGR,2000,0.72
161,Bulgaria,56,BGR,2001,0.73
162,Bulgaria,56,BGR,2002,0.736
163,Bulgaria,56,BGR,2003,0.745
164,Bulgaria,56,BGR,2004,0.752
165,Bulgaria,56,BGR,2005,0.758
166,Bulgaria,56,BGR,2006,0.765
167,Bulgaria,56,BGR,2007,0.773
168,Bulgaria,56,BGR,2008,0.78
169,Bulgaria,56,BGR,2009,0.782
170,Bulgaria,56,BGR,2010,0.788
171,Bulgaria,56,BGR,2011,0.791
172,Bulgaria,56,BGR,2012,0.795
173,Bulgaria,56,BGR,2013,0.801
174,Bulgaria,56,BGR,2014,0.806
175,Bulgaria,56,BGR,2015,0.809
176,Bulgaria,56,BGR,2016,0.811
177,Bulgaria,56,BGR,2017,0.811
178,Bulgaria,56,BGR,2018,0.813
179,Bulgaria,56,BGR,2019,0.816
190,Croatia,43,HRV,2000,0.757
191,Croatia,43,HRV,2001,0.768
192,Croatia,43,HRV,2002,0.774
193,Croatia,43,HRV,2003,0.78
194,Croatia,43,HRV,2004,0.786
195,Croatia,43,HRV,2005,0.792
196,Croatia,43,HRV,2006,0.798
197,Croatia,43,HRV,2007,0.808
198,Croatia,43,HRV,2008,0.813
199,Croatia,43,HRV,2009,0.812
200,Croatia,43,HRV,2010,0.815
201,Croatia,43,HRV,2011,0.823
202,Croatia,43,HRV,2012,0.825
203,Croatia,43,HRV,2013,0.83
204,Croatia,43,HRV,2014,0.835
205,Croatia,43,HRV,2015,0.84
206,Croatia,43,HRV,2016,0.841
207,Croatia,43,HRV,2017,0.845
208,Croatia,43,HRV,2018,0.848
209,Croatia,43,HRV,2019,0.851
220,Cyprus,33,CYP,2000,0.804
221,Cyprus,33,CYP,2001,0.81
222,Cyprus,33,CYP,2002,0.819
223,Cyprus,33,CYP,2003,0.828
224,Cyprus,33,CYP,2004,0.831
225,Cyprus,33,CYP,2005,0.836
226,Cyprus,33,CYP,2006,0.842
227,Cyprus,33,CYP,2007,0.849
228,Cyprus,33,CYP,2008,0.858
229,Cyprus,33,CYP,2009,0.862
230,Cyprus,33,CYP,2010,0.856
231,Cyprus,33,CYP,2011,0.86
232,Cyprus,33,CYP,2012,0.859
233,Cyprus,33,CYP,2013,0.86
234,Cyprus,33,CYP,2014,0.862
235,Cyprus,33,CYP,2015,0.865
236,Cyprus,33,CYP,2016,0.873
237,Cyprus,33,CYP,2017,0.878
238,Cyprus,33,CYP,2018,0.885
239,Cyprus,33,CYP,2019,0.887
250,Czech Republic,27,CZE,2000,0.804
251,Czech Republic,27,CZE,2001,0.814
252,Czech Republic,27,CZE,2002,0.821
